banco,eixo,query,grupo,execucao,warmup,latencia_ms,linhas,mem_kb,db_hits,page_cache_hits,page_cache_misses
neo4j,ed_basica,1,agregacao,1,True,660,645,112.6,661495,136526,1042
neo4j,ed_basica,1,agregacao,2,False,130,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,3,False,65,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,4,False,59,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,5,False,57,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,6,False,57,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,7,False,56,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,8,False,56,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,9,False,58,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,10,False,57,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,11,False,129,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,12,False,57,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,13,False,68,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,14,False,54,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,15,False,45,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,16,False,44,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,17,False,44,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,18,False,43,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,19,False,41,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,20,False,38,645,112.6,661495,137482,0
neo4j,ed_basica,1,agregacao,21,False,41,645,112.6,661495,137482,0
neo4j,ed_basica,2,agregacao,1,True,519,1724,2590.1,722985,198224,221
neo4j,ed_basica,2,agregacao,2,False,108,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,3,False,102,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,4,False,104,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,5,False,81,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,6,False,78,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,7,False,78,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,8,False,82,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,9,False,79,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,10,False,87,1724,2590.1,722985,198445,0
neo4j,ed_basica,2,agregacao,11,False,170,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,12,False,94,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,13,False,87,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,14,False,78,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,15,False,78,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,16,False,75,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,17,False,73,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,18,False,73,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,19,False,75,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,20,False,76,1724,2028.3,722985,198445,0
neo4j,ed_basica,2,agregacao,21,False,73,1724,2028.3,722985,198445,0
neo4j,ed_basica,3,filtro,1,True,307,236,63.7,659102,145854,15
neo4j,ed_basica,3,filtro,2,False,103,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,3,False,77,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,4,False,68,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,5,False,63,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,6,False,63,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,7,False,62,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,8,False,61,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,9,False,68,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,10,False,70,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,11,False,154,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,12,False,104,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,13,False,97,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,14,False,102,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,15,False,96,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,16,False,87,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,17,False,93,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,18,False,88,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,19,False,93,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,20,False,77,236,63.7,659102,145869,0
neo4j,ed_basica,3,filtro,21,False,78,236,63.7,659102,145869,0
neo4j,ed_basica,4,agregacao,1,True,241,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,2,False,98,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,3,False,122,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,4,False,98,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,5,False,96,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,6,False,99,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,7,False,93,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,8,False,86,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,9,False,90,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,10,False,81,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,11,False,136,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,12,False,100,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,13,False,94,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,14,False,96,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,15,False,94,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,16,False,107,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,17,False,97,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,18,False,85,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,19,False,84,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,20,False,78,645,112.6,686574,159475,0
neo4j,ed_basica,4,agregacao,21,False,76,645,112.6,686574,159475,0
neo4j,ed_basica,5,filtro,1,True,340,1372,453.2,681012,153249,76
neo4j,ed_basica,5,filtro,2,False,122,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,3,False,114,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,4,False,103,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,5,False,101,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,6,False,98,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,7,False,101,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,8,False,96,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,9,False,90,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,10,False,82,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,11,False,148,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,12,False,109,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,13,False,119,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,14,False,117,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,15,False,116,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,16,False,99,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,17,False,100,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,18,False,83,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,19,False,85,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,20,False,81,1372,453.2,681012,153325,0
neo4j,ed_basica,5,filtro,21,False,79,1372,453.2,681012,153325,0
neo4j,ed_basica,6,anti_join,1,True,845,20,6602.4,2802478,990321,34165
neo4j,ed_basica,6,anti_join,2,False,469,20,6603.2,2802478,1013915,10570
neo4j,ed_basica,6,anti_join,3,False,344,20,6602.4,2802478,1017427,7058
neo4j,ed_basica,6,anti_join,4,False,225,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,5,False,215,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,6,False,201,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,7,False,194,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,8,False,198,20,6603.2,2802478,1024665,0
neo4j,ed_basica,6,anti_join,9,False,205,20,6602.4,2802478,1024665,0
neo4j,ed_basica,6,anti_join,10,False,195,20,6602.4,2802478,1024665,0
