banco,eixo,query,grupo,execucao,warmup,latencia_ms,linhas,mem_kb,buffers_hit,buffers_read
postgresql,ed_basica,1,agregacao,1,True,536.475,645.0,456,337246,25175
postgresql,ed_basica,1,agregacao,2,False,528.832,645.0,909,337884,22475
postgresql,ed_basica,1,agregacao,3,False,515.391,645.0,882,337191,22193
postgresql,ed_basica,1,agregacao,4,False,518.643,645.0,886,338181,21911
postgresql,ed_basica,1,agregacao,5,False,515.914,645.0,882,338604,21629
postgresql,ed_basica,1,agregacao,6,False,523.078,645.0,881,339135,21347
postgresql,ed_basica,1,agregacao,7,False,524.623,645.0,884,338919,21065
postgresql,ed_basica,1,agregacao,8,False,527.567,645.0,884,339438,20783
postgresql,ed_basica,1,agregacao,9,False,536.299,645.0,872,357876,20501
postgresql,ed_basica,1,agregacao,10,False,528.025,645.0,877,339357,20219
postgresql,ed_basica,1,agregacao,11,False,531.587,645.0,866,339399,19937
postgresql,ed_basica,1,agregacao,12,False,536.626,645.0,883,360270,19655
postgresql,ed_basica,1,agregacao,13,False,539.021,645.0,878,359028,19373
postgresql,ed_basica,1,agregacao,14,False,533.818,645.0,882,340710,19091
postgresql,ed_basica,1,agregacao,15,False,543.452,645.0,889,342837,18872
postgresql,ed_basica,1,agregacao,16,False,535.055,645.0,885,341240,18783
postgresql,ed_basica,1,agregacao,17,False,635.959,645.0,880,341507,18501
postgresql,ed_basica,1,agregacao,18,False,794.048,645.0,890,342044,18219
postgresql,ed_basica,1,agregacao,19,False,798.684,645.0,878,343190,17937
postgresql,ed_basica,1,agregacao,20,False,801.982,645.0,889,342197,17655
postgresql,ed_basica,1,agregacao,21,False,797.224,645.0,892,343016,17469
postgresql,ed_basica,2,agregacao,1,True,1833.39,1724.0,2740,245943,39943
postgresql,ed_basica,2,agregacao,2,False,1431.496,1724.0,5803,250212,35400
postgresql,ed_basica,2,agregacao,3,False,1751.901,1724.0,2740,249134,36752
postgresql,ed_basica,2,agregacao,4,False,1729.845,1724.0,2740,248931,36955
postgresql,ed_basica,2,agregacao,5,False,1736.46,1724.0,2740,248917,36969
postgresql,ed_basica,2,agregacao,6,False,1750.233,1724.0,2740,248803,37083
postgresql,ed_basica,2,agregacao,7,False,1723.934,1724.0,2740,248853,37033
postgresql,ed_basica,2,agregacao,8,False,1737.807,1724.0,2740,248807,37079
postgresql,ed_basica,2,agregacao,9,False,1733.869,1724.0,2740,248861,37025
postgresql,ed_basica,2,agregacao,10,False,1405.683,1724.0,4237,249712,35396
postgresql,ed_basica,2,agregacao,11,False,1736.637,1724.0,2740,249191,36695
postgresql,ed_basica,2,agregacao,12,False,1731.328,1724.0,2740,248899,36987
postgresql,ed_basica,2,agregacao,13,False,1738.227,1724.0,2740,248874,37012
postgresql,ed_basica,2,agregacao,14,False,1711.105,1724.0,2772,248796,36808
postgresql,ed_basica,2,agregacao,15,False,1724.947,1724.0,2740,248917,36969
postgresql,ed_basica,2,agregacao,16,False,1736.78,1724.0,2740,248768,37118
postgresql,ed_basica,2,agregacao,17,False,1719.765,1724.0,2740,248876,37010
postgresql,ed_basica,2,agregacao,18,False,1726.194,1724.0,2740,248831,37055
postgresql,ed_basica,2,agregacao,19,False,1745.128,1724.0,2740,248793,37093
postgresql,ed_basica,2,agregacao,20,False,1731.999,1724.0,2740,248879,37007
postgresql,ed_basica,2,agregacao,21,False,1735.64,1724.0,2740,248774,37112
postgresql,ed_basica,3,filtro,1,True,412.781,236.0,165,2278,7331
postgresql,ed_basica,3,filtro,2,False,431.75,236.0,134,3954,5651
postgresql,ed_basica,3,filtro,3,False,441.116,236.0,134,4066,5557
postgresql,ed_basica,3,filtro,4,False,440.209,236.0,134,4174,5463
postgresql,ed_basica,3,filtro,5,False,437.176,236.0,134,4240,5369
