banco,eixo,query,grupo,execucao,warmup,latencia_ms,linhas,mem_kb,buffers_hit,buffers_read
postgresql,ed_basica,1,agregacao,1,True,641.32,645.0,786,333043,30065
postgresql,ed_basica,1,agregacao,2,False,535.235,645.0,715,357742,19840
postgresql,ed_basica,1,agregacao,3,False,519.296,645.0,877,341584,19558
postgresql,ed_basica,1,agregacao,4,False,517.811,645.0,891,340021,19276
postgresql,ed_basica,1,agregacao,5,False,517.471,645.0,874,341017,18994
postgresql,ed_basica,1,agregacao,6,False,522.478,645.0,891,342790,18712
postgresql,ed_basica,1,agregacao,7,False,520.631,645.0,878,341242,18430
postgresql,ed_basica,1,agregacao,8,False,520.116,645.0,889,341521,18148
postgresql,ed_basica,1,agregacao,9,False,519.716,645.0,892,341964,17867
postgresql,ed_basica,1,agregacao,10,False,522.865,645.0,889,341946,17801
postgresql,ed_basica,1,agregacao,11,False,522.92,645.0,882,342543,17681
postgresql,ed_basica,1,agregacao,12,False,528.083,645.0,877,345015,17438
postgresql,ed_basica,1,agregacao,13,False,526.753,645.0,893,345874,17434
postgresql,ed_basica,1,agregacao,14,False,618.263,645.0,892,343018,17434
postgresql,ed_basica,1,agregacao,15,False,803.114,645.0,876,343192,17434
postgresql,ed_basica,1,agregacao,16,False,820.949,645.0,888,342808,17434
postgresql,ed_basica,1,agregacao,17,False,811.686,645.0,879,344035,17467
postgresql,ed_basica,1,agregacao,18,False,834.319,645.0,718,342763,17467
postgresql,ed_basica,1,agregacao,19,False,869.554,645.0,889,344211,17453
postgresql,ed_basica,1,agregacao,20,False,814.821,645.0,879,343133,17451
postgresql,ed_basica,1,agregacao,21,False,883.147,645.0,906,343590,17438
postgresql,ed_basica,2,agregacao,1,True,1698.271,1724.0,3569,248108,36797
postgresql,ed_basica,2,agregacao,2,False,1776.859,1724.0,2740,249150,37045
postgresql,ed_basica,2,agregacao,3,False,1746.762,1724.0,2740,249256,36939
postgresql,ed_basica,2,agregacao,4,False,1771.322,1724.0,2740,248447,37001
postgresql,ed_basica,2,agregacao,5,False,1744.902,1724.0,2740,249170,37025
postgresql,ed_basica,2,agregacao,6,False,1751.805,1724.0,2740,249129,37066
postgresql,ed_basica,2,agregacao,7,False,1731.029,1724.0,2776,247780,36689
postgresql,ed_basica,2,agregacao,8,False,1755.4,1724.0,2740,249160,37035
postgresql,ed_basica,2,agregacao,9,False,1742.967,1724.0,2740,249138,37057
postgresql,ed_basica,2,agregacao,10,False,1745.304,1724.0,2740,249071,37124
postgresql,ed_basica,2,agregacao,11,False,1772.711,1724.0,2740,249099,37096
postgresql,ed_basica,2,agregacao,12,False,1750.467,1724.0,2740,248295,37153
postgresql,ed_basica,2,agregacao,13,False,1733.562,1724.0,2740,249151,37044
postgresql,ed_basica,2,agregacao,14,False,1737.76,1724.0,2740,249135,37060
postgresql,ed_basica,2,agregacao,15,False,1740.009,1724.0,2740,249068,37127
postgresql,ed_basica,2,agregacao,16,False,1734.48,1724.0,2740,249117,37078
postgresql,ed_basica,2,agregacao,17,False,1736.387,1724.0,2740,249038,37157
postgresql,ed_basica,2,agregacao,18,False,1742.64,1724.0,2740,249153,37042
postgresql,ed_basica,2,agregacao,19,False,1737.543,1724.0,2740,249135,37060
postgresql,ed_basica,2,agregacao,20,False,1739.249,1724.0,2740,247415,37114
